Company_Code,Company_Name,Report_Date,Calendar_Year,Financial_Year,Financial_Quarter,Cash_Balance_Millions
1MC,MORELLA CORPORATION LIMITED,2024-10-31,2024,FY24,Q1,0.575
AAR,ASTRAL RESOURCES NL,2024-01-31,2024,FY24,Q2,1.753
AAR,ASTRAL RESOURCES NL,2024-04-26,2024,FY24,Q3,0.618
AAR,ASTRAL RESOURCES NL,2024-07-30,2024,FY24,Q4,5.773
AAR,ASTRAL RESOURCES NL,2024-10-21,2024,FY24,Q1,24.097
ADD,ADAVALE RESOURCES LIMITED,2024-01-31,2024,FY24,Q2,0.944
ADD,ADAVALE RESOURCES LIMITED,2024-04-26,2024,FY24,Q3,1.331
ADD,ADAVALE RESOURCES LIMITED,2024-07-31,2024,FY24,Q4,0.28
ADD,ADAVALE RESOURCES LIMITED,2024-10-28,2024,FY24,Q1,0.324
ADT,ADRIATIC METALS PLC,2024-01-30,2024,FY24,Q4,44.809
ADT,ADRIATIC METALS PLC,2024-04-29,2024,FY24,Q1,46.726
ADT,ADRIATIC METALS PLC,2024-07-30,2024,FY24,Q2,59.887
ADT,ADRIATIC METALS PLC,2024-10-28,2024,FY24,Q3,23.807
AGC,AUSTRALIAN GOLD AND COPPER LTD,2024-01-31,2024,FY24,Q2,11.573
AGY,ARGOSY MINERALS LIMITED,2024-01-29,2024,FY24,Q4,13.852
AGY,ARGOSY MINERALS LIMITED,2024-04-30,2024,FY24,Q1,9.301
AGY,ARGOSY MINERALS LIMITED,2024-07-26,2024,FY24,Q2,11.301
AGY,ARGOSY MINERALS LIMITED,2024-10-29,2024,FY24,Q3,7.352
AKN,AUKING MINING LIMITED,2024-01-30,2024,FY24,Q4,0.396
AKN,AUKING MINING LIMITED,2024-04-29,2024,FY24,Q1,0.283
AKN,AUKING MINING LIMITED,2024-07-24,2024,FY24,Q2,0.113
AKN,AUKING MINING LIMITED,2024-10-30,2024,FY24,Q3,58.0
AKO,AKORA RESOURCES LIMITED,2024-01-31,2024,FY24,Q4,1.314
AKO,AKORA RESOURCES LIMITED,2024-04-30,2024,FY24,Q1,0.711
AKO,AKORA RESOURCES LIMITED,2024-07-31,2024,FY24,Q2,2.911
AKO,AKORA RESOURCES LIMITED,2024-10-31,2024,FY24,Q3,1.129
ALY,ALCHEMY RESOURCES LIMITED,2024-01-30,2024,FY24,Q2,4.003
